routeKey,class,TT_freeflow
-1015424647#0->-1015424647#0|n=1|h=49ca6a38f4,bike_bicycle,4.0
-1015424647#0->-116837516|n=47|h=9e71af52b8,bike_bicycle,39130.0
-1015424647#0->440146336|n=14|h=006106229d,bike_bicycle,8017.0
-1015424647#1->-1015424647#1|n=1|h=1745d9720d,bike_bicycle,5.0
-1015424647#1->511187813#3|n=16|h=a1411ae36d,bike_bicycle,21141.0
-1015424649#0->-1015424649#0|n=1|h=06c3c372e1,bike_bicycle,5.0
-1015424649#0->-488780171|n=15|h=7997b0719f,bike_bicycle,18894.0
-1015424649#1->513272949|n=18|h=698bf4ecac,bike_bicycle,17195.0
-1015424650->40036062#1|n=43|h=cd5deef207,bike_bicycle,42517.0
-10250021#0->-24576913#0|n=20|h=aa47d0317e,truck_truck,6205.0
-10250021#0->-40035606#3|n=21|h=2b75847091,motorcycle_motorcycle,20571.0
-10250021#0->-761486028#1|n=15|h=39d9cd749c,bike_bicycle,13326.0
-10250021#0->1067953239#1|n=26|h=6fb8e3ee14,veh_passenger,8522.0
-10250021#0->1260481154|n=9|h=d38055c0fa,veh_passenger,1149.0
-10250021#0->178583153|n=26|h=3dc04c2b9a,veh_passenger,2017.0
-10250021#0->39838691#10|n=34|h=c92beb3844,veh_passenger,14696.0
-10250021#0->39838691#8|n=32|h=83cc44b42d,truck_truck,5412.0
-10250021#0->451728954|n=22|h=caab5523dd,bike_bicycle,27271.0
-10250021#0->687878725|n=28|h=f6bbfad802,veh_passenger,8999.0
-10250021#0->967985512|n=24|h=56553b0d3d,veh_passenger,20365.0
-10250021#2->-1067928307#3|n=39|h=22f3a40da5,truck_truck,11301.0
-10250021#2->-1068144849#0|n=27|h=4552661aaf,veh_passenger,13069.0
-10250021#2->-116783809#5|n=21|h=e966357de6,bike_bicycle,2425.0
-10250021#2->-449565665#0|n=19|h=9717205061,truck_truck,7920.0
-10250021#2->-564273553#2|n=30|h=682b2ee04f,motorcycle_motorcycle,42093.0
-10250021#2->-8887999#1|n=18|h=a1fe879d01,motorcycle_motorcycle,4625.0
-10250021#2->1015424648|n=30|h=da93a009fd,truck_truck,2245.0
-10250021#2->1068434207|n=11|h=173b9ad349,motorcycle_motorcycle,2350.0
-10250021#2->1214520074#6|n=26|h=468f47929d,motorcycle_motorcycle,5240.0
-10250021#2->1335304376#1|n=12|h=9ad23725e9,veh_passenger,2144.0
-10250021#2->1338361263|n=25|h=4f77dfed9c,motorcycle_motorcycle,17485.0
-10250021#2->1421367925|n=30|h=e5f9a5b180,veh_passenger,9158.0
-10250021#2->15420801#3|n=12|h=8b9f1c0f76,bus_bus,3146.0
-10250021#2->15420801#3|n=12|h=8b9f1c0f76,veh_passenger,1398.0
-10250021#2->178583140#1|n=21|h=2ed56179f8,veh_passenger,11718.0
-10250021#2->178702258#0|n=15|h=5361d3d171,veh_passenger,2594.0
-10250021#2->178723097#0|n=23|h=970c0d72c8,motorcycle_motorcycle,26253.0
-10250021#2->449565665#0|n=25|h=bfb4a69893,bus_bus,2340.0
-10250021#2->479863106#1|n=8|h=aa51473b91,motorcycle_motorcycle,7958.0
-10250021#2->511187809|n=18|h=e019236a29,veh_passenger,5279.0
-10250021#2->521701859|n=20|h=b745ff66c6,motorcycle_motorcycle,8137.0
