vehID,routeKey,class,depart,arrival,travel_time
bike1,-440024351#3->-440024351#3|n=1|h=ae2b93d034,bike_bicycle,9.0,12.0,3.0
bike3,-83428923#1->-83428923#1|n=1|h=e0fc170117,bike_bicycle,23.0,50.0,27.0
bike6,1211656986#0->1211656986#0|n=1|h=da6974208a,bike_bicycle,44.0,50.0,6.0
bus20,71269782->71269782|n=1|h=b7280f273e,bus_bus,77.0,85.0,8.0
veh14,1214520075->515126385#2|n=12|h=d176c28342,veh_passenger,15.0,109.0,94.0
veh20,1196008692#0->40035606#2|n=16|h=4de3943a2c,veh_passenger,21.0,109.0,88.0
veh97,666886081->515126385#2|n=4|h=8a562e4fc4,veh_passenger,96.0,114.0,18.0
veh110,-40035325#1->-40035325#1|n=1|h=96e6fa8df4,veh_passenger,108.0,119.0,11.0
veh49,15420525->47087993#0|n=6|h=804ab65f6f,veh_passenger,49.0,120.0,71.0
veh48,666886084#1->1226645408|n=19|h=a1a01a3a75,veh_passenger,48.0,126.0,78.0
veh56,39838751#0->1214520074#3|n=13|h=bae0e26b2d,veh_passenger,56.0,126.0,70.0
veh129,-40139504#0->-40139504#0|n=1|h=8b02d091f5,veh_passenger,127.0,137.0,10.0
bike19,-116783922#1->-116783922#1|n=1|h=31f3d2e954,bike_bicycle,136.0,140.0,4.0
veh68,40036062#0->40035606#1|n=9|h=89eb82f9ad,veh_passenger,68.0,141.0,73.0
veh53,39086240->-1260485929#1|n=11|h=f9425f5887,veh_passenger,53.0,145.0,92.0
veh21,-1068144846#2->15420801#3|n=20|h=f8b9f18d1d,veh_passenger,22.0,154.0,132.0
bike20,1211978033#0->1211978033#0|n=1|h=2490a0ca83,bike_bicycle,143.0,157.0,14.0
veh9,-147711065#0->1235501861#2|n=13|h=4e79b79516,veh_passenger,10.0,164.0,154.0
motorcycle1,-24576913#2->-10628444#1|n=19|h=9ddd1003f8,motorcycle_motorcycle,8.0,165.0,157.0
bus43,178441748#0->178441748#0|n=1|h=38e96e292a,bus_bus,163.0,170.0,7.0
truck1,-1125986375#1->1214520076|n=14|h=2ab6a6b3f5,truck_truck,11.0,172.0,161.0
veh43,428730793#0->515130025|n=16|h=86d9999332,veh_passenger,43.0,183.0,140.0
veh92,1222181937->515126385#0|n=15|h=ff5c74072b,veh_passenger,91.0,194.0,103.0
motorcycle7,-10748045#0->1125986377#1|n=12|h=28beb7669c,motorcycle_motorcycle,47.0,195.0,148.0
veh8,511404880#0->47157282#1|n=18|h=eb828c886c,veh_passenger,9.0,196.0,187.0
veh50,40140141#0->39838882|n=17|h=ac7516a8a9,veh_passenger,50.0,197.0,147.0
bike15,428730818#3->1226645409|n=5|h=1fbbe9b47f,bike_bicycle,108.0,198.0,90.0
veh34,-451728952#3->-1068144849#2|n=11|h=340ac0f43b,veh_passenger,35.0,198.0,163.0
veh69,490474063#2->968332513#1|n=16|h=0dfa5f1bb7,veh_passenger,69.0,201.0,132.0
veh107,654297629#5->1298335705|n=13|h=25e4998243,veh_passenger,106.0,203.0,97.0
veh7,47087992#3->-838061037|n=19|h=d640c31dd7,veh_passenger,8.0,204.0,196.0
veh95,39086240->479863106#1|n=12|h=2280404843,veh_passenger,94.0,207.0,113.0
motorcycle5,666886084#0->-14924729#3|n=21|h=6ec57f4975,motorcycle_motorcycle,34.0,208.0,174.0
veh6,-428730813#3->509646057#0|n=27|h=35448ed643,veh_passenger,7.0,208.0,201.0
veh75,1214520074#1->-1068144849#0|n=22|h=99d65dc797,veh_passenger,74.0,209.0,135.0
motorcycle20,499566574#3->50323226|n=12|h=fe8df64705,motorcycle_motorcycle,131.0,218.0,87.0
veh206,513082641#2->513082641#2|n=1|h=b9b4e23db7,veh_passenger,202.0,220.0,18.0
bus13,513272949->10629474#0|n=14|h=aeebd5905b,bus_bus,50.0,222.0,172.0
bus5,1068434236->-1297720368|n=14|h=1a244b9352,bus_bus,20.0,224.0,204.0
veh74,24577455#0->654297629#4|n=24|h=80762f1802,veh_passenger,73.0,225.0,152.0
motorcycle3,1125986374->1204070283#1|n=13|h=6f65e0aff9,motorcycle_motorcycle,21.0,232.0,211.0
veh38,-1323097580#0->-40109290#3|n=24|h=6b86fbcaf3,veh_passenger,38.0,236.0,198.0
veh62,1214520074#5->513087668|n=24|h=ef7485249e,veh_passenger,62.0,238.0,176.0
veh106,1211151637->488788636#0|n=7|h=9ddd22e7bd,veh_passenger,105.0,238.0,133.0
veh5,-1125986385#1->40035325#1|n=19|h=f5fd7e26d1,veh_passenger,6.0,239.0,233.0
motorcycle26,142741729#0->499566574#0|n=5|h=6ebbf75545,motorcycle_motorcycle,170.0,241.0,71.0
motorcycle11,499566574#2->-1125986378#0|n=14|h=8eb1bd28ce,motorcycle_motorcycle,73.0,242.0,169.0
bike32,1235501861#0->1235501861#0|n=1|h=a0ff3a6902,bike_bicycle,228.0,243.0,15.0
motorcycle13,24621218#2->-1222703383|n=10|h=12913192c6,motorcycle_motorcycle,86.0,247.0,161.0
veh81,515123439->511187809|n=12|h=e8db84d7b0,veh_passenger,82.0,247.0,165.0
motorcycle0,12090453#1->15420801#0|n=20|h=95ea357dab,motorcycle_motorcycle,1.0,248.0,247.0
veh71,39921192#0->1068434205|n=20|h=ee10e48b08,veh_passenger,71.0,249.0,178.0
bike34,-436110595#0->-436110595#0|n=1|h=f5c80c1cec,bike_bicycle,243.0,249.0,6.0
motorcycle12,39838984#1->15420801#2|n=12|h=48d221064d,motorcycle_motorcycle,79.0,251.0,172.0
bike31,47088302#0->47088302#0|n=1|h=cf552c43e5,bike_bicycle,221.0,252.0,31.0
veh86,1235501861#1->-654297629#0|n=24|h=78ff312f8e,veh_passenger,85.0,253.0,168.0
veh136,-405382146#1->509646057#0|n=14|h=3eb0167d66,veh_passenger,134.0,254.0,120.0
veh104,40140141#10->1214520076|n=14|h=bc9e455a3e,veh_passenger,103.0,257.0,154.0
truck0,1074409256#2->1226645407|n=36|h=b020c4ec6b,truck_truck,1.0,258.0,257.0
veh149,-437445539#1->488788636#0|n=13|h=04fd69a4e2,veh_passenger,146.0,259.0,113.0
