vehID,routeKey,class,depart,arrival,travel_time
bike1,-440024351#3->-440024351#3|n=1|h=ae2b93d034,bike_bicycle,2.0,5.0,3.0
bike6,1211656986#0->1211656986#0|n=1|h=da6974208a,bike_bicycle,6.0,12.0,6.0
bus20,71269782->71269782|n=1|h=b7280f273e,bus_bus,9.0,18.0,9.0
bike19,-116783922#1->-116783922#1|n=1|h=31f3d2e954,bike_bicycle,15.0,19.0,4.0
veh110,-40035325#1->-40035325#1|n=1|h=96e6fa8df4,veh_passenger,12.0,24.0,12.0
veh129,-40139504#0->-40139504#0|n=1|h=8b02d091f5,veh_passenger,14.0,25.0,11.0
bike20,1211978033#0->1211978033#0|n=1|h=2490a0ca83,bike_bicycle,16.0,30.0,14.0
bike3,-83428923#1->-83428923#1|n=1|h=e0fc170117,bike_bicycle,4.0,31.0,27.0
veh97,666886081->515126385#2|n=4|h=8a562e4fc4,veh_passenger,11.0,31.0,20.0
bike34,-436110595#0->-436110595#0|n=1|h=f5c80c1cec,bike_bicycle,26.0,32.0,6.0
bike32,1235501861#0->1235501861#0|n=1|h=a0ff3a6902,bike_bicycle,24.0,38.0,14.0
veh206,513082641#2->513082641#2|n=1|h=b9b4e23db7,veh_passenger,22.0,40.0,18.0
motorcycle37,-428730813#0->-1067928307#3|n=5|h=34aeaf0ef9,motorcycle_motorcycle,25.0,42.0,17.0
veh405,521704031#0->521704031#0|n=1|h=2a29ad0e33,veh_passenger,41.0,42.0,1.0
bike54,-1015424647#1->-1015424647#1|n=1|h=1745d9720d,bike_bicycle,40.0,45.0,5.0
veh453,-438516309->-438516309|n=1|h=2a21b63c1e,veh_passenger,46.0,47.0,1.0
bike37,-687878725->-687878725|n=1|h=6dca776aa1,bike_bicycle,28.0,50.0,22.0
bus43,178441748#0->178441748#0|n=1|h=38e96e292a,bus_bus,21.0,51.0,30.0
bike31,47088302#0->47088302#0|n=1|h=cf552c43e5,bike_bicycle,23.0,54.0,31.0
veh511,24576922#0->24576922#0|n=1|h=64d898198e,veh_passenger,51.0,54.0,3.0
bike36,116831884->50323229#11|n=6|h=57869eb6bb,bike_bicycle,27.0,55.0,28.0
bike72,509524230->509524230|n=1|h=85c3759b9f,bike_bicycle,53.0,55.0,2.0
