vehID,routeKey,class,depart,arrival,travel_time,distance_m,on_express_s,admitted,denied
bus160,40140017#1->10629474#1,bus_bus,961.00,998.00,37.00,252.35,0.00,False,False
bus160.1,40140017#1->10629474#1,bus_bus,967.00,1003.00,36.00,252.35,0.00,False,False
veh1374.1,39838691#0->509524230,veh_passenger,925.00,1005.00,80.00,628.06,0.00,False,False
veh1374,39838691#0->509524230,veh_passenger,922.00,1006.00,84.00,628.06,0.00,False,False
veh1493,1196008692#1->178583167#0,veh_passenger,1002.00,1020.00,18.00,189.73,0.00,False,False
veh1411,11635067->335802672,veh_passenger,947.00,1028.00,81.00,1704.60,33.00,True,False
veh1500,40140141#2->-257421487#0,veh_passenger,1006.00,1061.00,55.00,609.40,0.00,False,False
veh1500.1,40140141#2->-257421487#0,veh_passenger,1009.00,1082.00,73.00,609.40,0.00,False,False
veh1563,-50323229#2->1273251150#1,veh_passenger,1049.00,1110.00,61.00,346.03,0.00,False,False
veh1525,475044040#4->-238219449,veh_passenger,1023.00,1114.00,91.00,484.27,0.00,False,False
veh1587,240666069#0->428730800,veh_passenger,1065.00,1122.00,57.00,565.24,0.00,False,False
veh1384,654297629#6->564273553#0,veh_passenger,1119.00,1126.00,7.00,22.74,0.00,False,False
veh1384.1,654297629#6->564273553#0,veh_passenger,1122.00,1130.00,8.00,22.74,0.00,False,False
bus164,142741729#1->40139504#1,bus_bus,985.00,1140.00,155.00,568.58,0.00,False,False
veh1377,1211151635#0->1214520074#2,veh_passenger,927.00,1141.00,214.00,1272.53,0.00,False,False
bus164.1,142741729#1->40139504#1,bus_bus,991.00,1143.00,152.00,568.58,0.00,False,False
bus187,428730793#0->460316444,bus_bus,1123.00,1144.00,21.00,181.64,0.00,False,False
veh1693,-40109290#3->-50323229#13,veh_passenger,1136.00,1154.00,18.00,53.08,0.00,False,False
veh1566,40140141#0->-240666072#1,veh_passenger,1051.00,1188.00,137.00,654.14,0.00,False,False
veh1566.1,40140141#0->-240666072#1,veh_passenger,1054.00,1189.00,135.00,654.14,0.00,False,False
veh1527,654297632#2->-40109239,veh_passenger,1025.00,1221.00,196.00,950.94,6.00,True,False
veh1367,1337646271#0->515130026#0,veh_passenger,917.00,1222.00,305.00,1295.92,0.00,False,False
veh1811,-1254633077#1->-50323229#14,veh_passenger,1215.00,1230.00,15.00,86.80,0.00,False,False
veh1610.1,1064476620#3->-654297637#1,veh_passenger,1083.00,1231.00,148.00,546.13,0.00,False,False
veh1811.1,-1254633077#1->-50323229#14,veh_passenger,1218.00,1233.00,15.00,86.80,0.00,False,False
veh1545,509524228->178702248,veh_passenger,1037.00,1236.00,199.00,1877.49,32.00,True,False
veh1776,-33683346#0->1326193809,veh_passenger,1191.00,1257.00,66.00,470.56,0.00,False,False
veh1510,-1332638368#2->1421367508,veh_passenger,1013.00,1258.00,245.00,862.54,0.00,False,False
veh1776.1,-33683346#0->1326193809,veh_passenger,1194.00,1260.00,66.00,470.56,0.00,False,False
truck95.1,1214520074#5->-12247568#1,truck_truck,1146.00,1282.00,136.00,1159.71,0.00,False,False
truck95,1214520074#5->-12247568#1,truck_truck,1141.00,1286.00,145.00,1159.71,0.00,False,False
veh1830,-169562956->-1260485931#0,veh_passenger,1228.00,1288.00,60.00,726.42,0.00,False,False
veh1807,40138633#1->-40109290#1,veh_passenger,1212.00,1293.00,81.00,617.61,0.00,False,False
veh1878,1235754993#1->1201484855,veh_passenger,1260.00,1295.00,35.00,430.39,0.00,False,False
veh1740,-1125986406#0->967985513#2,veh_passenger,1167.00,1309.00,142.00,1175.09,0.00,False,False
veh1610,1064476620#3->-654297637#1,veh_passenger,1080.00,1323.00,243.00,546.13,0.00,False,False
veh1807.1,40138633#1->-40109290#1,veh_passenger,1215.00,1339.00,124.00,617.61,0.00,False,False
veh1424.1,1068144845#4->83563455,veh_passenger,964.00,1343.00,379.00,2781.37,34.00,False,False
veh1510.1,-1332638368#2->1421367508,veh_passenger,1016.00,1343.00,327.00,862.54,0.00,False,False
veh1740.1,-1125986406#0->967985513#2,veh_passenger,1170.00,1363.00,193.00,1175.09,0.00,False,False
veh2034,465144361->1235754993#1,veh_passenger,1364.00,1379.00,15.00,209.69,0.00,False,False
truck84.1,1214520075->1074771170,truck_truck,1189.00,1384.00,195.00,983.71,0.00,False,False
veh2075,-39838691#10->-39838691#8,veh_passenger,1392.00,1402.00,10.00,71.68,0.00,False,False
veh2075.1,-39838691#10->-39838691#8,veh_passenger,1395.00,1405.00,10.00,71.68,0.00,False,False
veh1383,24577455#0->465144361,veh_passenger,928.00,1444.00,516.00,288.87,0.00,False,False
veh2117,513082635#0->515123442#4,veh_passenger,1420.00,1464.00,44.00,710.95,14.00,False,False
veh1538,47087992#0->240666069#2,veh_passenger,1032.00,1470.00,438.00,2242.99,12.00,True,False
veh1656,515124966->-450616334#0,veh_passenger,1119.00,1472.00,353.00,1136.71,0.00,False,False
veh1538.1,47087992#0->240666069#2,veh_passenger,1035.00,1475.00,440.00,2242.99,12.00,True,False
veh1420.1,-1068144845#4->47267010,veh_passenger,956.00,1482.00,526.00,2190.69,37.00,False,False
veh1420,-1068144845#4->47267010,veh_passenger,953.00,1484.00,531.00,2190.69,36.00,False,False
veh2202,15419971#0->15419971#1,veh_passenger,1477.00,1487.00,10.00,94.37,0.00,False,False
veh2202.1,15419971#0->15419971#1,veh_passenger,1480.00,1489.00,9.00,94.37,0.00,False,False
truck84,1214520075->1074771170,truck_truck,1143.00,1490.00,347.00,983.71,0.00,False,False
veh1773,-224146621->-47267007#2,veh_passenger,1189.00,1491.00,302.00,2084.20,9.00,True,False
veh1996,515138054->178702239#0,veh_passenger,1339.00,1492.00,153.00,2368.66,26.00,False,False
veh1505,1335304375->-474143552#6,veh_passenger,1010.00,1508.00,498.00,361.30,8.00,False,False
veh1927,1068144848#1->1100626097,veh_passenger,1293.00,1538.00,245.00,1320.35,7.00,False,False
veh1664,8887999#1->47225638#0,veh_passenger,1116.00,1547.00,431.00,957.11,0.00,False,False
veh1913,47053612->-1322916760#1,veh_passenger,1283.00,1549.00,266.00,2431.23,48.00,True,False
veh1664.1,8887999#1->47225638#0,veh_passenger,1119.00,1551.00,432.00,957.11,0.00,False,False
veh2101,-40139504#1->1064476618#0,veh_passenger,1409.00,1560.00,151.00,568.87,0.00,False,False
veh1656.1,515124966->-450616334#0,veh_passenger,1209.00,1592.00,383.00,1136.71,0.00,False,False
veh1927.1,1068144848#1->1100626097,veh_passenger,1296.00,1628.00,332.00,1320.35,8.00,False,False
veh1423,-687878722#0->488788636#0,veh_passenger,955.00,1629.00,674.00,954.49,0.00,False,False
veh1727,1214520073#1->1337646275,veh_passenger,1159.00,1641.00,482.00,2947.45,33.00,True,False
veh2363,-238219441#2->-40140017#1,veh_passenger,1585.00,1643.00,58.00,325.19,0.00,False,False
veh1913.1,47053612->-1322916760#1,veh_passenger,1286.00,1654.00,368.00,2431.23,65.00,True,False
veh1573,40140141#6->-169562956,veh_passenger,1057.00,1660.00,603.00,687.13,0.00,False,False
veh1820,47224972#1->1118804256#0,veh_passenger,1221.00,1662.00,441.00,1669.72,71.00,False,False
veh2379,511404877->-1067928305#1,veh_passenger,1595.00,1690.00,95.00,1104.60,0.00,False,False
veh2397,-451728952#1->-1068144848#1,veh_passenger,1607.00,1711.00,104.00,569.92,5.00,True,False
veh2397.1,-451728952#1->-1068144848#1,veh_passenger,1610.00,1713.00,103.00,569.92,5.00,True,False
veh2493,-451728952#3->488786523,veh_passenger,1672.00,1757.00,85.00,627.21,0.00,False,True
veh1502,-47224972#0->-47224972#0,veh_passenger,1796.00,1797.00,1.00,5.85,0.00,False,False
veh2251,499566573->654297633,veh_passenger,1510.00,1804.00,294.00,377.95,0.00,False,False
veh2493.1,-451728952#3->488786523,veh_passenger,1675.00,1805.00,130.00,627.21,0.00,False,True
veh1390,33683458#2->40109290#5,veh_passenger,933.00,1819.00,886.00,466.41,0.00,False,False
veh1485,1214520076->-511187807,veh_passenger,1152.00,1820.00,668.00,289.43,0.00,False,False
veh1390.1,33683458#2->40109290#5,veh_passenger,936.00,1823.00,887.00,466.41,0.00,False,False
veh2633.1,12262310#0-AddedOffRampEdge->178702239#0-AddedOnRampEdge,veh_passenger,1769.00,1826.00,57.00,1175.27,55.00,False,False
veh1380.1,47267010->39838691#1,veh_passenger,929.00,1832.00,903.00,709.40,0.00,False,False
veh2338.1,1337646270->12247568#1,veh_passenger,1569.00,1834.00,265.00,1047.27,0.00,False,False
veh2170.1,515130027->482569917#1,veh_passenger,1457.00,1836.00,379.00,1568.23,0.00,False,False
veh2338,1337646270->12247568#1,veh_passenger,1568.00,1839.00,271.00,1047.27,0.00,False,False
veh2170,515130027->482569917#1,veh_passenger,1455.00,1840.00,385.00,1568.23,0.00,False,False
veh2633,12262310#0-AddedOffRampEdge->178702239#0-AddedOnRampEdge,veh_passenger,1766.00,1841.00,75.00,1175.27,73.00,False,False
veh2126.1,479863106#0->511404874#1,veh_passenger,1429.00,1857.00,428.00,321.78,0.00,False,False
veh1879,-39921672->72157794,veh_passenger,1260.00,1878.00,618.00,521.96,0.00,False,False
veh2529,1298335703->47087993#5,veh_passenger,1696.00,1881.00,185.00,1158.76,2.00,True,False
veh2529.1,1298335703->47087993#5,veh_passenger,1699.00,1886.00,187.00,1158.76,3.00,True,False
veh1615,428730800->511404880#0,veh_passenger,1084.00,1893.00,809.00,693.44,0.00,False,False
truck142.1,1068144847->515126385#4,truck_truck,1710.00,1905.00,195.00,849.30,0.00,False,False
truck142,1068144847->515126385#4,truck_truck,1705.00,1906.00,201.00,849.30,0.00,False,False
veh2812,-1323097577->33683346#2,veh_passenger,1886.00,1924.00,38.00,341.42,0.00,False,False
veh2892,40036009#2->40036009#2,veh_passenger,1939.00,1942.00,3.00,13.29,0.00,False,False
veh1622.1,178699051#0->-1067928305#2,veh_passenger,1091.00,1944.00,853.00,1949.56,0.00,False,False
veh2093,-238219441#2->1260485931#1,veh_passenger,1404.00,1945.00,541.00,795.79,0.00,False,False
veh1622,178699051#0->-1067928305#2,veh_passenger,1088.00,1948.00,860.00,1949.56,0.00,False,False
veh2093.1,-238219441#2->1260485931#1,veh_passenger,1407.00,1948.00,541.00,795.79,0.00,False,False
veh1869.1,39366819#0->-838061038,veh_passenger,1257.00,1951.00,694.00,599.32,0.00,False,False
veh957,511404874#0->515123439,veh_passenger,1141.00,1958.00,817.00,859.10,0.00,False,False
bus184,509524271->-1255099069,bus_bus,1226.00,1968.00,742.00,926.96,0.00,False,False
veh2114,39838657#1->-564273553#3,veh_passenger,1418.00,1988.00,570.00,413.26,0.00,False,False
veh1649,39763700#0->39838657#2,veh_passenger,1106.00,1990.00,884.00,790.81,0.00,False,False
veh2310,515136608->1068144845#2,veh_passenger,1549.00,1998.00,449.00,1396.38,385.00,True,False
veh2648,40036062#0->-33683346#2,veh_passenger,1776.00,2021.00,245.00,590.91,0.00,False,False
bus252,40140141#3->822782498,bus_bus,1513.00,2027.00,514.00,790.34,0.00,False,False
veh1907,40297715#2->39920593#5,veh_passenger,1279.00,2038.00,759.00,180.06,0.00,False,False
veh2700,68574202->-413789558#0,veh_passenger,1810.00,2040.00,230.00,1815.52,0.00,False,False
veh2848,513082635#0-AddedOffRampEdge->47087993#1,veh_passenger,1910.00,2054.00,144.00,1562.08,0.00,False,True
veh1424,1068144845#4->83563455,veh_passenger,956.00,2063.00,1107.00,2781.37,38.00,False,False
bus175,1214520075->178702251,bus_bus,1218.00,2063.00,845.00,2262.59,59.00,True,False
veh2461.1,1273251150#1->-40138633#2,veh_passenger,1653.00,2092.00,439.00,211.75,0.00,False,False
veh3121,515123442#1->515123442#2,veh_passenger,2093.00,2102.00,9.00,57.99,0.00,False,False
veh1417,-401226926#0->238219446#1,veh_passenger,951.00,2134.00,1183.00,962.11,7.00,False,False
veh3114,437445539#0->654530820#1,veh_passenger,2088.00,2148.00,60.00,632.87,0.00,False,False
