vehID,routeKey,class,depart,arrival,travel_time,distance_m,on_express_s,admitted,denied
veh8,488788627->40138239#3,veh_passenger,55.00,108.00,53.00,433.95,0.00,False,False
veh4,-1068434202->-47087366#2,veh_passenger,28.00,130.00,102.00,881.77,0.00,False,False
veh9,10748045#1->-40036009#0,veh_passenger,62.00,163.00,101.00,455.63,0.00,False,False
veh20,-143546557->10628444#2,veh_passenger,135.00,208.00,73.00,483.23,0.00,False,False
veh10,666886086#3->1074771163#0,veh_passenger,68.00,224.00,156.00,1585.68,0.00,False,False
veh21,39838984#0->1125986379#0,veh_passenger,142.00,281.00,139.00,883.72,0.00,False,False
veh11,-1335304371->-1335304377,veh_passenger,75.00,282.00,207.00,926.67,0.00,False,True
veh23,-968332509->654297632#0,veh_passenger,176.00,294.00,118.00,626.25,0.00,False,False
veh29,-511187818->-10748036,veh_passenger,196.00,298.00,102.00,711.96,0.00,False,False
veh3,1231065653->-1074409256#0,veh_passenger,22.00,299.00,277.00,1244.96,0.00,False,False
veh30,1068434202->10250021#0,veh_passenger,202.00,299.00,97.00,379.42,0.00,False,False
bus0,39838630#1->-1068144849#1,bus_bus,1.00,300.00,299.00,2131.07,35.00,True,False
veh17,40138239#2->-1125986406#0,veh_passenger,115.00,323.00,208.00,1689.66,58.00,False,False
veh28,509646052->47225638#1,veh_passenger,193.00,323.00,130.00,1261.33,0.00,False,False
bus4,1214520068->-1074409256#0,bus_bus,241.00,336.00,95.00,506.53,0.00,False,False
veh14,160078084->8887999#1,veh_passenger,95.00,338.00,243.00,1926.51,24.00,False,False
veh16,511187811->240666069#3,veh_passenger,109.00,339.00,230.00,1636.08,0.00,False,False
veh2,515123438->-1326193809,veh_passenger,15.00,343.00,328.00,2583.04,79.00,True,False
veh0,10628442#1->-50323229#2,veh_passenger,1.00,353.00,352.00,1558.74,87.00,False,False
truck0,10628442#1->-50323229#2,truck_truck,4.00,359.00,355.00,1558.74,87.00,False,False
veh35,24576913#1->515126385#2,veh_passenger,236.00,382.00,146.00,1294.41,0.00,False,False
bus3,513272949->-1297720368,bus_bus,181.00,400.00,219.00,916.98,0.00,False,False
veh7,488788633#0->-10628442#2,veh_passenger,48.00,407.00,359.00,2244.52,0.00,False,False
veh6,-50323229#13->24621218#2,veh_passenger,42.00,413.00,371.00,1552.82,48.00,True,False
veh26,-401226926#1->1196008691#1,veh_passenger,176.00,415.00,239.00,815.76,0.00,False,False
veh49,1335304386#1->-40297715#3,veh_passenger,330.00,421.00,91.00,511.13,0.00,False,False
veh13,488788629->428730793#1,veh_passenger,89.00,422.00,333.00,2426.02,0.00,False,False
veh33,39920550#0->1214520073#1,veh_passenger,223.00,424.00,201.00,1353.50,0.00,False,False
bus2,40140141#8->39920593#4,bus_bus,121.00,428.00,307.00,1864.61,39.00,True,False
veh22,11631594#1->-479863106#1,veh_passenger,149.00,433.00,284.00,1648.43,0.00,False,False
veh15,50323229#13->39838630#2,veh_passenger,102.00,435.00,333.00,1888.98,42.00,True,False
veh19,-1297720367->-521705694#0,veh_passenger,129.00,457.00,328.00,1460.11,0.00,False,False
veh5,39920505#2->178583159,veh_passenger,35.00,465.00,430.00,4427.98,102.00,True,False
veh18,-509646056->1064476622#1,veh_passenger,122.00,467.00,345.00,1617.69,86.00,True,False
veh37,-1332638391#1->-1131969257,veh_passenger,249.00,474.00,225.00,868.53,0.00,False,False
veh1,424580475->39921672,veh_passenger,8.00,478.00,470.00,2702.56,128.00,True,False
bus7,-488786523->232920701,bus_bus,421.00,493.00,72.00,855.80,24.00,True,False
veh55,-1015424648->1068434257,veh_passenger,370.00,498.00,128.00,653.41,0.00,False,False
veh12,509646057#1->33683458#1,veh_passenger,82.00,507.00,425.00,1672.90,87.00,True,False
truck2,515123438->-1326193809,truck_truck,241.00,517.00,276.00,2583.04,68.00,False,False
veh69,-33683458#1->-50323229#5,veh_passenger,464.00,527.00,63.00,279.56,0.00,False,False
veh44,39921192#1->178583140#1,veh_passenger,296.00,528.00,232.00,556.62,0.00,False,False
veh48,511409856#1->-8887999#2,veh_passenger,323.00,532.00,209.00,1125.09,0.00,False,False
veh68,1254816442->14924729#0,veh_passenger,457.00,532.00,75.00,510.43,0.00,False,False
veh57,513082635#0->509524227#0,veh_passenger,383.00,534.00,151.00,1115.77,14.00,False,False
veh42,838061038->511404873#1,veh_passenger,283.00,538.00,255.00,1124.84,0.00,False,False
bus5,-482569917#0->1326094888,bus_bus,301.00,544.00,243.00,2727.76,0.00,False,False
veh34,-900279869->-654297633,veh_passenger,229.00,555.00,326.00,919.79,0.00,False,False
veh53,451728952#5->178583148#0,veh_passenger,357.00,561.00,204.00,2326.84,36.00,False,False
veh70,1074771163#1-AddedOffRampEdge->24621218#1,veh_passenger,470.00,564.00,94.00,669.07,0.00,False,False
veh24,39920505#11->39366819#1,veh_passenger,162.00,568.00,406.00,1454.03,0.00,False,False
veh46,-238219441#2->1254633077#0,veh_passenger,310.00,572.00,262.00,1129.33,0.00,False,False
veh58,1068144846#2->-1222703384#1,veh_passenger,390.00,573.00,183.00,2084.09,36.00,True,False
veh27,178699058->40035904#2,veh_passenger,182.00,575.00,393.00,4085.49,71.00,True,False
veh59,513082632->666886084#0,veh_passenger,397.00,581.00,184.00,1139.88,15.00,False,False
truck4,-1068434202->-47087366#2,truck_truck,481.00,584.00,103.00,881.77,0.00,False,False
veh43,-1067928305#0->40297885#1,veh_passenger,290.00,585.00,295.00,1621.46,0.00,False,False
veh39,474143552#4->1234244925#0,veh_passenger,263.00,617.00,354.00,1578.12,0.00,False,False
veh38,-238219441#0->39838691#7,veh_passenger,256.00,619.00,363.00,1509.02,0.00,False,False
veh31,-488788630#0->654297637#2,veh_passenger,209.00,621.00,412.00,2698.57,0.00,False,False
veh76,-488788633#2->-39838691#3,veh_passenger,511.00,622.00,111.00,1234.36,0.00,False,False
veh40,-1254633077#0->1204070281,veh_passenger,269.00,629.00,360.00,2210.97,17.00,True,False
veh50,515136608->513082627,veh_passenger,336.00,651.00,315.00,2783.09,45.00,True,False
veh45,-968332509->39920505#1,veh_passenger,374.00,653.00,279.00,1374.87,0.00,False,False
truck1,424580475->39921672,truck_truck,121.00,657.00,536.00,2702.56,109.00,True,False
veh84,1214520075->1074771170,veh_passenger,564.00,662.00,98.00,983.71,0.00,False,False
veh60,-1326094888->1332638368#0,veh_passenger,403.00,673.00,270.00,1952.05,37.00,True,False
veh51,1067953239#1->39920011#3,veh_passenger,343.00,675.00,332.00,1923.84,65.00,True,False
bus6,-1068916335->-449565665#1,bus_bus,361.00,680.00,319.00,970.01,0.00,False,False
veh41,9832326#0->15420801#3,veh_passenger,276.00,689.00,413.00,1975.19,0.00,False,False
veh36,1214520074#2->-50323229#10,veh_passenger,243.00,702.00,459.00,3290.65,146.00,True,False
veh61,-1260485929#1->47087366#1,veh_passenger,410.00,718.00,308.00,1792.31,0.00,False,False
bus9,475044040#2->40035904#1,bus_bus,541.00,718.00,177.00,816.01,55.00,True,False
veh52,381945549#0->-40035904#0,veh_passenger,350.00,733.00,383.00,3877.55,52.00,False,False
veh83,967993112#1->-1335304386#0,veh_passenger,558.00,743.00,185.00,1272.73,0.00,False,False
bus1,-654297637#0->-488788633#0,bus_bus,61.00,744.00,683.00,2523.35,0.00,False,False
veh95,1214520074#5->-12247568#1,veh_passenger,638.00,744.00,106.00,1159.71,0.00,False,False
veh56,-1068144845#3->653860562,veh_passenger,377.00,754.00,377.00,2836.73,50.00,True,False
veh72,-1260485930#1->39838882,veh_passenger,484.00,754.00,270.00,1647.71,0.00,False,False
veh67,-47267007#2->1068144849#2,veh_passenger,450.00,759.00,309.00,1979.17,76.00,True,False
veh90,178583167#1->-1204070283#1,veh_passenger,604.00,759.00,155.00,992.31,0.00,False,False
bus10,1068144846#2->-40035325#2,bus_bus,601.00,761.00,160.00,2293.45,48.00,True,False
veh74,511187808#4-AddedOnRampEdge->-1260485929#3,veh_passenger,497.00,765.00,268.00,759.16,0.00,False,False
veh79,488788630#0->-449565665#1,veh_passenger,531.00,768.00,237.00,1901.76,0.00,False,False
veh65,1233759524->-488788630#1,veh_passenger,437.00,769.00,332.00,2181.77,0.00,False,False
veh80,-1335304385->1236283454,veh_passenger,537.00,771.00,234.00,771.72,87.00,False,False
veh64,-900279869->513082635#0-AddedOffRampEdge,veh_passenger,430.00,772.00,342.00,2103.95,34.00,True,False
veh32,513082623->1068434201,veh_passenger,216.00,782.00,566.00,3173.48,47.00,True,False
veh71,-513272949->-50323229#11,veh_passenger,477.00,793.00,316.00,1645.73,34.00,False,False
veh87,1231065653->10628444#2,veh_passenger,584.00,821.00,237.00,1026.50,0.00,False,False
veh63,1323097575#1->178699051#1,veh_passenger,424.00,830.00,406.00,1031.40,33.00,True,False
veh96,-900279886->474143552#0,veh_passenger,645.00,851.00,206.00,878.05,0.00,False,False
veh73,-511187818->515136604,veh_passenger,491.00,853.00,362.00,1959.42,0.00,False,False
veh116,1068434203->449565665#2,veh_passenger,779.00,857.00,78.00,577.70,0.00,False,False
veh107,24621218#3->39921192#1,veh_passenger,718.00,866.00,148.00,580.37,0.00,False,False
veh113,-474143552#2->40297647#0,veh_passenger,759.00,867.00,108.00,502.63,0.00,False,False
veh103,-1222703384#1->24577455#2,veh_passenger,692.00,869.00,177.00,746.85,0.00,False,False
veh98,68574202->9832326#1,veh_passenger,658.00,895.00,237.00,2339.54,35.00,True,False
veh128,-39838691#7->-24576913#0,veh_passenger,859.00,912.00,53.00,462.49,0.00,False,False
veh133,509646056->-1332638391#1,veh_passenger,893.00,942.00,49.00,266.12,0.00,False,False
veh93,509646059->-40138239#1,veh_passenger,625.00,945.00,320.00,1999.34,87.00,False,False
veh88,-654297637#0->538432099,veh_passenger,591.00,946.00,355.00,1569.77,0.00,False,False
