vehID,routeKey,class,depart,arrival,travel_time,distance_m,on_express_s,admitted,denied
veh1384,654297629#6->564273553#0,veh_passenger,929.00,943.00,14.00,22.74,0.00,False,False
bus160,40140017#1->10629474#1,bus_bus,961.00,997.00,36.00,252.35,0.00,False,False
veh1502,-47224972#0->-47224972#0,veh_passenger,1008.00,1009.00,1.00,5.85,0.00,False,False
veh1374,39838691#0->509524230,veh_passenger,922.00,1018.00,96.00,628.06,0.00,False,False
veh1346,39920550#6->33683346#0,veh_passenger,903.00,1022.00,119.00,1043.86,0.00,False,False
veh1411,11635067->335802672,veh_passenger,947.00,1033.00,86.00,1704.60,0.00,False,False
veh1399,499566577#1->10250021#3,veh_passenger,939.00,1057.00,118.00,615.17,0.00,False,False
truck76,-488788633#2->-39838691#3,truck_truck,914.00,1062.00,148.00,1234.36,0.00,False,False
veh1500,40140141#2->-257421487#0,veh_passenger,1006.00,1075.00,69.00,609.40,0.00,False,False
veh1542,-1335304373#2->39920593#5,veh_passenger,1035.00,1077.00,42.00,415.55,0.00,False,False
veh1436,39920550#4->40035606#0,veh_passenger,964.00,1092.00,128.00,691.30,0.00,False,False
veh1344,-40036009#0->1125986375#1,veh_passenger,902.00,1094.00,192.00,1306.31,0.00,False,False
veh1358,39920593#5->-1323097580#1,veh_passenger,911.00,1099.00,188.00,579.34,0.00,False,False
veh1441,40297715#0->-50323229#15,veh_passenger,967.00,1102.00,135.00,963.91,0.00,False,False
veh1478,499566574#2->1067953239#0,veh_passenger,992.00,1104.00,112.00,605.28,0.00,False,False
veh1563,-50323229#2->1273251150#1,veh_passenger,1049.00,1107.00,58.00,346.03,0.00,False,False
veh1587,240666069#0->428730800,veh_passenger,1065.00,1116.00,51.00,565.24,0.00,False,False
veh1519,1125986374->1254816452,veh_passenger,1019.00,1119.00,100.00,508.07,0.00,False,False
veh1574,381945551->-428730813#3,veh_passenger,1064.00,1124.00,60.00,631.55,0.00,False,False
bus180,488788630#2->437445539#0,bus_bus,1081.00,1135.00,54.00,514.44,0.00,False,False
bus164,142741729#1->40139504#1,bus_bus,985.00,1139.00,154.00,568.58,0.00,False,False
bus187,428730793#0->460316444,bus_bus,1123.00,1143.00,20.00,181.64,0.00,False,False
veh1398,511404874#1->-39838691#7,veh_passenger,938.00,1144.00,206.00,1989.65,0.00,False,False
veh1693,-40109290#3->-50323229#13,veh_passenger,1136.00,1149.00,13.00,53.08,0.00,False,False
veh1510,-1332638368#2->1421367508,veh_passenger,1013.00,1154.00,141.00,862.54,0.00,False,False
veh1649,39763700#0->39838657#2,veh_passenger,1106.00,1174.00,68.00,790.81,0.00,False,False
veh1552,-50323229#2->39920505#13,veh_passenger,1041.00,1182.00,141.00,949.36,0.00,False,False
veh1566,40140141#0->-240666072#1,veh_passenger,1051.00,1182.00,131.00,654.14,0.00,False,False
veh1756,1323097580#0->1323097580#0,veh_passenger,1178.00,1185.00,7.00,49.61,0.00,False,False
veh1459,1222703383->238219441#0,veh_passenger,979.00,1186.00,207.00,869.29,0.00,False,False
veh1664,8887999#1->47225638#0,veh_passenger,1116.00,1187.00,71.00,957.11,0.00,False,False
veh1573,40140141#6->-169562956,veh_passenger,1056.00,1200.00,144.00,687.13,0.00,False,False
veh1356,-50323229#9->10250021#2,veh_passenger,910.00,1204.00,294.00,1441.85,0.00,False,False
veh1582,-39838691#8->1337115429,veh_passenger,1061.00,1206.00,145.00,1016.82,0.00,False,False
veh1527,654297632#2->-40109239,veh_passenger,1025.00,1219.00,194.00,950.94,0.00,False,False
veh1471,11635095->-1067928307#2,veh_passenger,987.00,1220.00,233.00,2246.44,0.00,False,False
veh1752,-488788630#1->-428730813#3,veh_passenger,1175.00,1221.00,46.00,459.46,0.00,False,False
veh1610,1064476620#3->-654297637#1,veh_passenger,1080.00,1232.00,152.00,546.13,0.00,False,False
veh1776,-33683346#0->1326193809,veh_passenger,1191.00,1250.00,59.00,470.56,0.00,False,False
veh1663,169562956->40138941#1,veh_passenger,1116.00,1252.00,136.00,1350.28,0.00,False,False
veh1424,1068144845#4->83563455,veh_passenger,956.00,1259.00,303.00,2781.37,0.00,False,False
veh1807,40138633#1->-40109290#1,veh_passenger,1212.00,1278.00,66.00,617.61,0.00,False,False
truck95,1214520074#5->-12247568#1,truck_truck,1141.00,1284.00,143.00,1159.71,0.00,False,False
bus199,33683458#2->-654297636,bus_bus,1195.00,1285.00,90.00,430.81,0.00,False,False
veh1656,515124966->-450616334#0,veh_passenger,1111.00,1289.00,178.00,1136.71,0.00,False,False
veh1597,39838691#8->-47267007#0,veh_passenger,1071.00,1290.00,219.00,1240.57,0.00,False,False
veh1740,-1125986406#0->967985513#2,veh_passenger,1167.00,1293.00,126.00,1175.09,0.00,False,False
veh1547,39920011#1->-40036009#2,veh_passenger,1038.00,1300.00,262.00,1323.53,0.00,False,False
veh1742,14924729#2->509524224,veh_passenger,1169.00,1332.00,163.00,1049.51,0.00,False,False
veh1806,178583167#1->40138239#1,veh_passenger,1212.00,1333.00,121.00,1206.88,0.00,False,False
veh1596,40139504#1->654297630,veh_passenger,1071.00,1335.00,264.00,710.52,0.00,False,False
veh1879,-39921672->72157794,veh_passenger,1260.00,1344.00,84.00,521.96,0.00,False,False
veh1820,47224972#1->1118804256#0,veh_passenger,1221.00,1346.00,125.00,1669.72,0.00,False,False
veh1830,-169562956->-1260485931#0,veh_passenger,1228.00,1354.00,126.00,726.42,0.00,False,False
veh1907,40297715#2->39920593#5,veh_passenger,1279.00,1368.00,89.00,180.06,0.00,False,False
veh1903,1067928305#0->1015424648,veh_passenger,1279.00,1384.00,105.00,945.68,0.00,False,False
veh1629,1421367508->11635146#0-AddedOffRampEdge,veh_passenger,1093.00,1396.00,303.00,1850.94,0.00,False,False
veh1794,-40036009#1->39920550#11,veh_passenger,1205.00,1411.00,206.00,977.79,0.00,False,False
veh1640,1337646276->1226645410,veh_passenger,1100.00,1419.00,319.00,754.64,0.00,False,False
veh1432,39839521->511404874#0,veh_passenger,961.00,1424.00,463.00,1258.99,0.00,False,False
veh1517,-1125986386->511187808#3,veh_passenger,1018.00,1432.00,414.00,695.04,0.00,False,False
veh2019,40138633#3->50323229#14,veh_passenger,1354.00,1457.00,103.00,610.52,0.00,False,False
veh1913,47053612->-1322916760#1,veh_passenger,1283.00,1460.00,177.00,2431.23,0.00,False,False
veh1926,15419875#0->39920222,veh_passenger,1292.00,1466.00,174.00,964.62,0.00,False,False
veh2117,513082635#0->515123442#4,veh_passenger,1420.00,1466.00,46.00,710.95,0.00,False,False
veh1799,-687878722#2->1068144846#0,veh_passenger,1207.00,1467.00,260.00,626.49,0.00,False,False
veh2034,465144361->1235754993#1,veh_passenger,1364.00,1473.00,109.00,209.69,0.00,False,False
veh1456,1204070281->1067953239#0,veh_passenger,977.00,1476.00,499.00,1548.73,0.00,False,False
veh1773,-224146621->-47267007#2,veh_passenger,1189.00,1484.00,295.00,2084.20,0.00,False,False
veh2202,15419971#0->15419971#1,veh_passenger,1477.00,1487.00,10.00,94.37,0.00,False,False
veh1847,515136603->1337115429,veh_passenger,1239.00,1488.00,249.00,2524.80,0.00,False,False
