routeKey,class,TT_freeflow
488788627->40138239#3,veh_passenger,53.0
-1068434202->-47087366#2,veh_passenger,102.0
10748045#1->-40036009#0,veh_passenger,101.0
-143546557->10628444#2,veh_passenger,72.0
-1335304371->-1335304377,veh_passenger,147.0
666886086#3->1074771163#0,veh_passenger,156.0
39838984#0->1125986379#0,veh_passenger,139.0
-968332509->654297632#0,veh_passenger,119.0
39838630#1->-1068144849#1,bus_bus,296.0
1231065653->-1074409256#0,veh_passenger,276.0
-511187818->-10748036,veh_passenger,102.0
1068434202->10250021#0,veh_passenger,97.0
40138239#2->-1125986406#0,veh_passenger,208.0
509646052->47225638#1,veh_passenger,131.0
1214520068->-1074409256#0,bus_bus,95.0
160078084->8887999#1,veh_passenger,244.0
511187811->240666069#3,veh_passenger,230.0
515123438->-1326193809,veh_passenger,326.0
10628442#1->-50323229#2,veh_passenger,347.0
10628442#1->-50323229#2,truck_truck,352.0
24576913#1->515126385#2,veh_passenger,146.0
513272949->-1297720368,bus_bus,219.0
488788633#0->-10628442#2,veh_passenger,359.0
-50323229#13->24621218#2,veh_passenger,371.0
-401226926#1->1196008691#1,veh_passenger,240.0
1335304386#1->-40297715#3,veh_passenger,91.0
488788629->428730793#1,veh_passenger,334.0
39920550#0->1214520073#1,veh_passenger,201.0
40140141#8->39920593#4,bus_bus,307.0
11631594#1->-479863106#1,veh_passenger,284.0
50323229#13->39838630#2,veh_passenger,332.0
-1297720367->-521705694#0,veh_passenger,328.0
39920505#2->178583159,veh_passenger,430.0
-509646056->1064476622#1,veh_passenger,345.0
-1332638391#1->-1131969257,veh_passenger,225.0
424580475->39921672,veh_passenger,470.0
-488786523->232920701,bus_bus,72.0
-1015424648->1068434257,veh_passenger,127.0
509646057#1->33683458#1,veh_passenger,425.0
515123438->-1326193809,truck_truck,276.0
39921192#1->178583140#1,veh_passenger,232.0
-33683458#1->-50323229#5,veh_passenger,63.0
513082635#0->509524227#0,veh_passenger,152.0
838061038->511404873#1,veh_passenger,255.0
-482569917#0->1326094888,bus_bus,243.0
-900279869->-654297633,veh_passenger,325.0
451728952#5->178583148#0,veh_passenger,203.0
1074771163#1-AddedOffRampEdge->24621218#1,veh_passenger,93.0
39920505#11->39366819#1,veh_passenger,407.0
-238219441#2->1254633077#0,veh_passenger,263.0
1068144846#2->-1222703384#1,veh_passenger,183.0
178699058->40035904#2,veh_passenger,398.0
513082632->666886084#0,veh_passenger,184.0
511409856#1->-8887999#2,veh_passenger,285.0
-238219441#0->39838691#7,veh_passenger,362.0
-488788630#0->654297637#2,veh_passenger,411.0
-1254633077#0->1204070281,veh_passenger,359.0
1254816442->14924729#0,veh_passenger,177.0
