vehID,routeKey,class,depart,arrival,travel_time,distance_m,on_express_s,admitted,denied
veh8,488788627->40138239#3,veh_passenger,55.00,99.00,44.00,365.66,0.00,False,False
veh9,10748045#1->-40036009#0,veh_passenger,62.00,163.00,101.00,455.63,0.00,False,False
veh4,-1068434202->-47087366#2,veh_passenger,28.00,176.00,148.00,922.29,0.00,False,False
veh11,-1335304371->-1335304377,veh_passenger,75.00,192.00,117.00,542.64,0.00,False,False
veh3,1231065653->-1074409256#0,veh_passenger,22.00,208.00,186.00,1308.43,0.00,False,False
veh20,-143546557->10628444#2,veh_passenger,135.00,216.00,81.00,483.23,0.00,False,False
veh10,666886086#3->1074771163#0,veh_passenger,68.00,223.00,155.00,1608.23,0.00,False,False
veh21,39838984#0->1125986379#0,veh_passenger,142.00,224.00,82.00,883.72,0.00,False,False
veh23,-968332509->654297632#0,veh_passenger,156.00,233.00,77.00,626.25,0.00,False,False
veh14,160078084->8887999#1,veh_passenger,95.00,276.00,181.00,1964.50,0.00,False,False
veh29,-511187818->-10748036,veh_passenger,196.00,298.00,102.00,711.96,0.00,False,False
veh30,1068434202->10250021#0,veh_passenger,202.00,298.00,96.00,379.42,0.00,False,False
bus0,39838630#1->-1068144849#1,bus_bus,1.00,299.00,298.00,2135.21,0.00,False,False
veh0,10628442#1->-50323229#2,veh_passenger,1.00,309.00,308.00,1491.42,0.00,False,False
truck0,10628442#1->-50323229#2,truck_truck,4.00,321.00,317.00,1491.42,0.00,False,False
veh17,40138239#2->-1125986406#0,veh_passenger,115.00,323.00,208.00,1689.66,0.00,False,False
veh28,509646052->47225638#1,veh_passenger,189.00,324.00,135.00,1261.33,0.00,False,False
bus4,1214520068->-1074409256#0,bus_bus,241.00,336.00,95.00,506.53,0.00,False,False
veh16,511187811->240666069#3,veh_passenger,109.00,338.00,229.00,1651.25,0.00,False,False
veh35,24576913#1->515126385#2,veh_passenger,236.00,375.00,139.00,1306.48,0.00,False,False
veh18,-509646056->1064476622#1,veh_passenger,122.00,377.00,255.00,1617.69,0.00,False,False
veh1,424580475->39921672,veh_passenger,8.00,382.00,374.00,2326.53,0.00,False,False
veh2,515123438->-1326193809,veh_passenger,15.00,382.00,367.00,2294.79,0.00,False,False
veh12,509646057#1->33683458#1,veh_passenger,82.00,384.00,302.00,1605.58,0.00,False,False
veh37,-1332638391#1->-1131969257,veh_passenger,249.00,384.00,135.00,853.86,0.00,False,False
bus3,513272949->-1297720368,bus_bus,182.00,401.00,219.00,916.98,0.00,False,False
veh7,488788633#0->-10628442#2,veh_passenger,48.00,411.00,363.00,2259.05,0.00,False,False
veh6,-50323229#13->24621218#2,veh_passenger,42.00,413.00,371.00,1609.89,0.00,False,False
veh19,-1297720367->-521705694#0,veh_passenger,129.00,413.00,284.00,1482.66,0.00,False,False
veh33,39920550#0->1214520073#1,veh_passenger,223.00,417.00,194.00,1376.05,0.00,False,False
veh49,1335304386#1->-40297715#3,veh_passenger,330.00,421.00,91.00,511.13,0.00,False,False
veh13,488788629->428730793#1,veh_passenger,89.00,422.00,333.00,2441.19,0.00,False,False
bus2,40140141#8->39920593#4,bus_bus,121.00,428.00,307.00,1864.61,0.00,False,False
veh15,50323229#13->39838630#2,veh_passenger,102.00,434.00,332.00,1902.08,0.00,False,False
veh22,11631594#1->-479863106#1,veh_passenger,149.00,435.00,286.00,1648.43,0.00,False,False
veh42,838061038->511404873#1,veh_passenger,283.00,446.00,163.00,1124.84,0.00,False,False
veh41,9832326#0->15420801#3,veh_passenger,276.00,452.00,176.00,2101.94,0.00,False,False
veh5,39920505#2->178583159,veh_passenger,35.00,462.00,427.00,4309.01,0.00,False,False
veh34,-900279869->-654297633,veh_passenger,229.00,464.00,235.00,933.78,0.00,False,False
veh26,-401226926#1->1196008691#1,veh_passenger,176.00,473.00,297.00,1225.72,0.00,False,False
truck1,424580475->39921672,truck_truck,121.00,476.00,355.00,2326.53,0.00,False,False
veh46,-238219441#2->1254633077#0,veh_passenger,310.00,481.00,171.00,1148.51,0.00,False,False
veh45,-968332509->39920505#1,veh_passenger,305.00,484.00,179.00,1366.88,0.00,False,False
veh24,39920505#11->39366819#1,veh_passenger,162.00,489.00,327.00,1815.81,0.00,False,False
veh48,511409856#1->-8887999#2,veh_passenger,323.00,490.00,167.00,1125.09,0.00,False,False
bus7,-488786523->232920701,bus_bus,421.00,492.00,71.00,855.80,0.00,False,False
veh57,513082635#0->509524227#0,veh_passenger,383.00,500.00,117.00,1115.77,0.00,False,False
